site_id,transaction_id,user_id,vehicle_id,payment_status,vehicle_status,self_park,valet,entry_time,exit_time,price
493,799135,875230,851938,Payment Not Required,Picked Up,0,1,2020-09-30T19:12:36-05:00,2020-09-30T20:27:09-05:00,15
472,799136,875285,851973,Payment Not Required,Picked Up,1,0,2020-09-30T19:12:41-05:00,2020-10-07T07:28:59-05:00,0
472,799137,875231,851940,Payment Not Required,Picked Up,1,0,2020-09-30T19:13:25-05:00,2020-09-30T19:35:11-05:00,0
493,799138,875233,851941,Payment Completed,Picked Up,0,1,2020-09-30T19:13:27-05:00,2020-09-30T21:12:01-05:00,20
474,799139,875236,851942,Payment Completed,Picked Up,1,0,2020-09-30T19:15:01-05:00,2020-09-30T20:52:36-05:00,20
496,799140,875237,851943,Payment Completed,Picked Up,0,1,2020-09-30T19:15:11-05:00,2020-09-30T21:50:43-05:00,20
472,799141,868006,846408,Payment Not Required,Picked Up,1,0,2020-09-30T19:17:42-05:00,2020-10-07T07:29:04-05:00,0
496,799142,875240,851945,Payment Completed,Picked Up,0,1,2020-09-30T19:17:52-05:00,2020-09-30T22:56:06-05:00,20
473,799143,874153,851197,Payment Completed,Picked Up,1,0,2020-09-30T19:17:53-05:00,2020-10-01T07:26:50-05:00,20
474,799144,875242,851952,Payment Not Required,Picked Up,1,0,2020-09-30T19:18:54-05:00,2020-09-30T21:10:22-05:00,20
483,799145,875244,851948,Payment Completed,Picked Up,1,0,2020-09-30T19:19:56-05:00,2020-09-30T19:20:00-05:00,8
472,799146,531611,530349,Payment Not Required,Picked Up,1,0,2020-09-30T19:21:50-05:00,2020-09-30T21:37:00-05:00,0
474,799147,875247,851949,Payment Not Required,Picked Up,1,0,2020-09-30T19:21:51-05:00,2020-09-30T20:34:43-05:00,15
496,799151,875252,851954,Payment Not Required,Picked Up,0,1,2020-09-30T19:23:31-05:00,2020-09-30T21:45:44-05:00,20
474,799154,786628,780933,Payment Completed,Picked Up,1,0,2020-09-30T19:26:33-05:00,2020-09-30T21:13:30-05:00,20
495,799155,875257,851955,Payment Not Required,Picked Up,0,1,2020-09-30T19:27:01-05:00,2020-09-30T21:22:50-05:00,20
496,799156,875256,851956,Payment Completed,Picked Up,0,1,2020-09-30T19:27:04-05:00,2020-09-30T21:08:38-05:00,20
474,799157,875258,851957,Payment Completed,Picked Up,1,0,2020-09-30T19:27:06-05:00,2020-09-30T21:11:51-05:00,20
493,799158,875260,851958,Payment Not Required,Picked Up,0,1,2020-09-30T19:27:40-05:00,2020-09-30T22:10:19-05:00,20
474,799159,875367,852032,Payment Completed,Picked Up,1,0,2020-09-30T19:28:19-05:00,2020-09-30T21:02:08-05:00,20
495,799160,875266,851960,Payment Not Required,Picked Up,0,1,2020-09-30T19:28:37-05:00,2020-09-30T21:03:42-05:00,15
493,799161,875265,851961,Payment Not Required,Picked Up,0,1,2020-09-30T19:28:44-05:00,2020-09-30T21:52:34-05:00,20
474,799162,854937,851962,Payment Not Required,Picked Up,1,0,2020-09-30T19:29:30-05:00,2020-09-30T21:54:47-05:00,25
493,799164,875269,851963,Payment Completed,Picked Up,0,1,2020-09-30T19:29:48-05:00,2020-09-30T22:07:38-05:00,20
474,799165,852248,834634,Payment Not Required,Picked Up,1,0,2020-09-30T19:29:49-05:00,2020-09-30T19:30:27-05:00,5
474,799166,875387,852046,Payment Not Required,Picked Up,1,0,2020-09-30T19:29:56-05:00,2020-09-30T21:30:23-05:00,25
474,799167,875277,851964,Payment Not Required,Picked Up,1,0,2020-09-30T19:30:36-05:00,2020-09-30T21:39:02-05:00,25
493,799168,875272,851965,Payment Not Required,Picked Up,0,1,2020-09-30T19:30:46-05:00,2020-09-30T22:07:40-05:00,20
495,799169,875275,851966,Payment Foregone,Picked Up,0,1,2020-09-30T19:31:14-05:00,2020-09-30T20:58:46-05:00,15
474,799170,875280,851967,Payment Completed,Picked Up,1,0,2020-09-30T19:31:18-05:00,2020-09-30T21:26:54-05:00,20
474,799171,875283,851968,Payment Completed,Picked Up,1,0,2020-09-30T19:31:55-05:00,2020-09-30T22:40:45-05:00,25
474,799173,805926,851970,Payment Completed,Picked Up,1,0,2020-09-30T19:32:35-05:00,2020-09-30T23:06:22-05:00,25
472,799174,717932,714820,Payment Not Required,Picked Up,1,0,2020-09-30T19:32:36-05:00,2020-09-30T20:58:33-05:00,0
474,799175,768863,764133,Payment Not Required,Picked Up,1,0,2020-09-30T19:32:50-05:00,2020-09-30T21:31:40-05:00,20
472,799176,875281,851971,Payment Not Required,Picked Up,1,0,2020-09-30T19:32:55-05:00,2020-09-30T21:41:28-05:00,0
474,799177,810839,697645,Payment Not Required,Picked Up,1,0,2020-09-30T19:33:07-05:00,2020-09-30T19:36:04-05:00,5
495,799178,875284,851972,Payment Not Required,Picked Up,0,1,2020-09-30T19:33:09-05:00,2020-09-30T20:58:34-05:00,15
474,799180,805926,798316,Payment Completed,Picked Up,1,0,2020-09-30T19:33:46-05:00,2020-09-30T21:13:05-05:00,20
474,799182,875287,851974,Payment Completed,Picked Up,1,0,2020-09-30T19:34:15-05:00,2020-09-30T21:12:35-05:00,20
493,799184,806477,798771,Payment Completed,Picked Up,0,1,2020-09-30T19:35:59-05:00,2020-09-30T21:24:36-05:00,20
474,799185,875288,632759,Payment Not Required,Picked Up,1,0,2020-09-30T19:35:52-05:00,2020-09-30T21:38:24-05:00,25
474,799186,875291,851976,Payment Not Required,Picked Up,1,0,2020-09-30T19:38:29-05:00,2020-09-30T21:17:51-05:00,20
474,799187,875399,852057,Payment Not Required,Picked Up,1,0,2020-09-30T19:40:08-05:00,2020-09-30T21:52:51-05:00,25
474,799188,875406,852063,Payment Not Required,Picked Up,1,0,2020-09-30T19:42:10-05:00,2020-09-30T22:06:12-05:00,25
472,799189,875285,851973,Payment Not Required,Picked Up,1,0,2020-09-30T19:42:19-05:00,2020-10-07T07:28:54-05:00,0
472,799190,723316,719966,Payment Not Required,Picked Up,1,0,2020-09-30T19:42:22-05:00,2020-09-30T21:48:43-05:00,0
474,799191,847513,831285,Payment Not Required,Picked Up,1,0,2020-09-30T19:42:26-05:00,2020-09-30T19:43:05-05:00,5
474,799192,845020,829525,Payment Not Required,Picked Up,1,0,2020-09-30T19:42:35-05:00,2020-09-30T21:30:01-05:00,20
493,799193,875299,851981,Payment Not Required,Picked Up,0,1,2020-09-30T19:44:46-05:00,2020-09-30T21:41:28-05:00,20
493,799196,875304,851983,Payment Not Required,Picked Up,0,1,2020-09-30T19:47:48-05:00,2020-09-30T21:07:01-05:00,15
474,799198,875305,851984,Payment Completed,Picked Up,1,0,2020-09-30T19:47:51-05:00,2020-09-30T21:06:30-05:00,15
472,799199,873567,850729,Payment Not Required,Picked Up,1,0,2020-09-30T19:48:32-05:00,2020-10-01T07:05:36-05:00,0
472,799200,875306,851985,Payment Not Required,Picked Up,1,0,2020-09-30T19:49:11-05:00,2020-10-01T10:23:42-05:00,0
472,799201,873574,850735,Payment Not Required,Picked Up,1,0,2020-09-30T19:49:40-05:00,2020-10-01T07:09:02-05:00,0
472,799202,771720,766851,Payment Not Required,Picked Up,1,0,2020-09-30T19:49:48-05:00,2020-09-30T20:35:43-05:00,0
493,799203,875310,810716,Payment Completed,Picked Up,0,1,2020-09-30T19:50:19-05:00,2020-09-30T21:34:18-05:00,15
495,799204,875312,851989,Payment Not Required,Picked Up,0,1,2020-09-30T19:50:49-05:00,2020-09-30T21:55:17-05:00,20
493,799205,875315,851991,Payment Not Required,Picked Up,0,1,2020-09-30T19:53:30-05:00,2020-09-30T21:10:52-05:00,10
495,799206,875318,851992,Payment Not Required,Picked Up,0,1,2020-09-30T19:53:54-05:00,2020-09-30T21:16:21-05:00,15
474,799208,875320,851994,Payment Completed,Picked Up,1,0,2020-09-30T19:54:40-05:00,2020-09-30T21:42:30-05:00,20
496,799209,765821,851995,Payment Not Required,Picked Up,0,1,2020-09-30T19:55:18-05:00,2020-09-30T20:57:46-05:00,10
495,799210,875323,851996,Payment Not Required,Picked Up,0,1,2020-09-30T19:55:45-05:00,2020-09-30T22:17:30-05:00,20
473,799211,875324,851997,Payment Not Required,Picked Up,1,0,2020-09-30T19:56:13-05:00,2020-09-30T20:00:52-05:00,0
474,799212,852248,834634,Payment Not Required,Picked Up,1,0,2020-09-30T19:57:09-05:00,2020-09-30T21:43:03-05:00,20
474,799213,875325,851998,Payment Not Required,Picked Up,1,0,2020-09-30T19:57:26-05:00,2020-09-30T19:58:00-05:00,5
493,799214,858375,851999,Payment Not Required,Picked Up,0,1,2020-09-30T20:00:01-05:00,2020-09-30T21:51:55-05:00,20
474,799215,875328,852001,Payment Not Required,Picked Up,1,0,2020-09-30T20:02:07-05:00,2020-09-30T20:10:49-05:00,5
472,799216,804028,796820,Payment Not Required,Picked Up,1,0,2020-09-30T20:06:21-05:00,2020-09-30T23:45:42-05:00,0
472,799217,875332,852005,Payment Not Required,Picked Up,1,0,2020-09-30T20:07:22-05:00,2020-09-30T22:17:30-05:00,0
493,799218,875334,852006,Payment Not Required,Picked Up,0,1,2020-09-30T20:07:24-05:00,2020-09-30T21:52:22-05:00,15
472,799219,483950,482934,Payment Not Required,Picked Up,1,0,2020-09-30T20:07:24-05:00,2020-09-30T21:15:10-05:00,0
474,799220,875337,852007,Payment Completed,Picked Up,1,0,2020-09-30T20:07:38-05:00,2020-09-30T20:27:49-05:00,5
474,799221,779408,840348,Payment Completed,Picked Up,1,0,2020-09-30T20:08:11-05:00,2020-09-30T23:16:24-05:00,25
474,799222,875339,852009,Payment Completed,Picked Up,1,0,2020-09-30T20:09:33-05:00,2020-09-30T22:57:20-05:00,25
474,799223,778870,773619,Payment Completed,Picked Up,1,0,2020-09-30T20:12:39-05:00,2020-09-30T22:56:59-05:00,25
474,799225,778909,773662,Payment Not Required,Picked Up,1,0,2020-09-30T20:18:45-05:00,2020-09-30T21:33:45-05:00,15
474,799228,854957,836580,Payment Foregone,Picked Up,1,0,2020-09-30T20:21:17-05:00,2020-10-01T00:16:03-05:00,25
472,799229,875346,852016,Payment Not Required,Picked Up,1,0,2020-09-30T20:21:32-05:00,2020-09-30T23:41:27-05:00,0
493,799230,780831,852017,Payment Not Required,Picked Up,0,1,2020-09-30T20:22:09-05:00,2020-09-30T22:24:39-05:00,20
472,799231,862242,842072,Payment Not Required,Picked Up,1,0,2020-09-30T20:22:37-05:00,2020-09-30T23:44:05-05:00,0
474,799232,875350,852020,Payment Completed,Picked Up,1,0,2020-09-30T20:24:09-05:00,2020-09-30T22:37:48-05:00,25
474,799233,875352,852021,Payment Completed,Picked Up,1,0,2020-09-30T20:24:52-05:00,2020-09-30T22:38:48-05:00,25
474,799234,830259,818572,Payment Completed,Picked Up,1,0,2020-09-30T20:26:44-05:00,2020-09-30T23:52:48-05:00,25
495,799235,732160,852022,Payment Not Required,Picked Up,0,1,2020-09-30T20:27:01-05:00,2020-09-30T21:48:55-05:00,15
474,799236,875159,851891,Payment Completed,Picked Up,1,0,2020-09-30T20:29:42-05:00,2020-09-30T20:30:36-05:00,5
474,799237,875428,852080,Payment Completed,Picked Up,1,0,2020-09-30T20:29:50-05:00,2020-09-30T23:34:31-05:00,25
472,799238,669573,666511,Payment Not Required,Picked Up,1,0,2020-09-30T20:34:31-05:00,2020-10-01T14:46:42-05:00,0
472,799239,774394,769288,Payment Not Required,Picked Up,1,0,2020-09-30T20:34:37-05:00,2020-09-30T22:03:03-05:00,0
472,799242,481923,480931,Payment Not Required,Picked Up,1,0,2020-09-30T20:36:34-05:00,2020-09-30T22:08:32-05:00,0
495,799243,741038,852026,Payment Completed,Picked Up,0,1,2020-09-30T20:38:51-05:00,2020-09-30T21:42:52-05:00,10
474,799245,875361,852028,Payment Completed,Picked Up,1,0,2020-09-30T20:44:19-05:00,2020-09-30T22:34:52-05:00,20
472,799246,821408,811510,Payment Not Required,Picked Up,1,0,2020-09-30T20:46:15-05:00,2020-09-30T21:13:42-05:00,0
472,799248,789714,783881,Payment Not Required,Picked Up,1,0,2020-09-30T20:47:58-05:00,2020-10-01T01:41:03-05:00,0
474,799249,875362,852029,Payment Not Required,Picked Up,1,0,2020-09-30T20:49:35-05:00,2020-09-30T23:10:57-05:00,25
473,799250,865800,844798,Payment Foregone,Picked Up,1,0,2020-09-30T20:53:07-05:00,2020-09-30T23:02:31-05:00,20
485,799251,875364,852030,Payment Completed,Picked Up,1,0,2020-09-30T20:53:34-05:00,2020-09-30T20:54:00-05:00,10
473,799252,771548,766789,Payment Not Required,Picked Up,1,0,2020-09-30T20:56:32-05:00,2020-10-01T06:25:04-05:00,0
474,799253,875425,852077,Payment Not Required,Picked Up,1,0,2020-09-30T20:57:07-05:00,2020-09-30T22:55:11-05:00,20
493,799254,875366,852031,Payment Not Required,Picked Up,0,1,2020-09-30T20:57:51-05:00,2020-09-30T22:29:18-05:00,15
474,799255,837806,784942,Payment Not Required,Picked Up,1,0,2020-09-30T21:05:27-05:00,2020-09-30T22:19:22-05:00,15
474,799256,875368,852033,Payment Completed,Picked Up,1,0,2020-09-30T21:06:02-05:00,2020-09-30T23:49:29-05:00,25
474,799257,875373,852034,Payment Not Required,Picked Up,1,0,2020-09-30T21:09:01-05:00,2020-09-30T21:19:32-05:00,5
474,799258,875375,852035,Payment Not Required,Picked Up,1,0,2020-09-30T21:09:57-05:00,2020-09-30T21:16:10-05:00,5
474,799259,875376,852036,Payment Foregone,Picked Up,1,0,2020-09-30T21:10:43-05:00,2020-10-01T07:09:51-05:00,25
474,799260,875377,852038,Payment Not Required,Picked Up,1,0,2020-09-30T21:11:54-05:00,2020-09-30T22:18:55-05:00,15
472,799261,835425,822457,Payment Not Required,Picked Up,1,0,2020-09-30T21:16:43-05:00,2020-09-30T22:51:07-05:00,0
474,799262,875430,852082,Payment Not Required,Picked Up,1,0,2020-09-30T21:16:45-05:00,2020-09-30T23:35:36-05:00,25
474,799263,875372,852037,Payment Completed,Picked Up,1,0,2020-09-30T21:10:46-05:00,2020-09-30T22:26:00-05:00,15
474,799266,810960,834863,Payment Not Required,Picked Up,1,0,2020-09-30T21:24:09-05:00,2020-09-30T23:33:26-05:00,25
473,799267,772533,767561,Payment Not Required,Picked Up,1,0,2020-09-30T21:24:40-05:00,2020-10-01T06:35:26-05:00,0
474,799268,775979,817108,Payment Not Required,Picked Up,1,0,2020-09-30T21:24:40-05:00,2020-09-30T22:27:14-05:00,15
472,799269,875382,852043,Payment Not Required,Picked Up,1,0,2020-09-30T21:26:30-05:00,2020-09-30T23:11:46-05:00,0
474,799270,875384,852044,Payment Not Required,Picked Up,1,0,2020-09-30T21:26:31-05:00,2020-09-30T23:33:49-05:00,25
472,799271,875390,852049,Payment Not Required,Picked Up,1,0,2020-09-30T21:28:51-05:00,2020-10-01T13:02:30-05:00,0
473,799272,772433,767435,Payment Not Required,Picked Up,1,0,2020-09-30T21:29:59-05:00,2020-10-01T06:30:13-05:00,0
472,799274,864446,843765,Payment Not Required,Picked Up,1,0,2020-09-30T21:35:51-05:00,2020-09-30T21:50:57-05:00,0
474,799276,875395,852052,Payment Not Required,Picked Up,1,0,2020-09-30T21:45:58-05:00,2020-09-30T23:09:47-05:00,15
472,799277,875394,852053,Payment Not Required,Picked Up,1,0,2020-09-30T21:46:21-05:00,2020-09-30T23:28:37-05:00,0
474,799278,817303,807902,Payment Completed,Picked Up,1,0,2020-09-30T21:46:31-05:00,2020-09-30T23:10:11-05:00,15
472,799279,571179,569711,Payment Not Required,Picked Up,1,0,2020-09-30T21:48:05-05:00,2020-09-30T22:08:53-05:00,0
472,799281,875397,852055,Payment Not Required,Picked Up,1,0,2020-09-30T21:51:26-05:00,2020-09-30T22:01:19-05:00,0
472,799282,875411,852067,Payment Not Required,Picked Up,1,0,2020-09-30T21:51:32-05:00,2020-10-07T07:29:07-05:00,0
472,799283,875400,852058,Payment Not Required,Picked Up,1,0,2020-09-30T21:54:52-05:00,2020-09-30T22:23:31-05:00,0
472,799284,816563,807248,Payment Not Required,Picked Up,1,0,2020-09-30T21:59:44-05:00,2020-09-30T23:07:11-05:00,0
474,799286,875403,852060,Payment Not Required,Picked Up,1,0,2020-09-30T22:03:12-05:00,2020-09-30T23:41:11-05:00,20
472,799287,867985,846389,Payment Not Required,Picked Up,1,0,2020-09-30T22:04:01-05:00,2020-10-01T00:36:34-05:00,0
474,799289,875410,852065,Payment Completed,Picked Up,1,0,2020-09-30T22:12:43-05:00,2020-09-30T22:50:10-05:00,10
474,799290,826290,815493,Payment Foregone,Picked Up,1,0,2020-09-30T22:14:31-05:00,2020-10-01T00:02:19-05:00,25
472,799292,875422,852074,Payment Not Required,Picked Up,1,0,2020-09-30T22:18:13-05:00,2020-10-07T07:28:53-05:00,0
474,799293,875418,852071,Payment Not Required,Picked Up,1,0,2020-09-30T22:22:03-05:00,2020-09-30T23:40:39-05:00,15
474,799294,875416,852070,Payment Not Required,Picked Up,1,0,2020-09-30T22:20:01-05:00,2020-10-01T00:05:00-05:00,20
474,799296,875421,818575,Payment Foregone,Picked Up,1,0,2020-09-30T22:33:00-05:00,2020-10-01T07:09:32-05:00,25
472,799298,875424,852076,Payment Not Required,Picked Up,1,0,2020-09-30T22:51:30-05:00,2020-10-07T07:28:51-05:00,0
473,799299,865795,844793,Payment Not Required,Picked Up,1,0,2020-09-30T22:56:15-05:00,2020-09-30T23:01:03-05:00,0
472,799300,651322,648357,Payment Not Required,Picked Up,1,0,2020-09-30T22:56:55-05:00,2020-09-30T23:19:25-05:00,0
472,799301,875426,852078,Payment Not Required,Picked Up,1,0,2020-09-30T22:57:10-05:00,2020-10-01T00:18:51-05:00,0
474,799308,795244,789035,Payment Not Required,Picked Up,1,0,2020-10-01T00:14:06-05:00,2020-10-01T00:14:16-05:00,0
472,799311,765418,828433,Payment Not Required,Picked Up,1,0,2020-10-01T00:18:50-05:00,2020-10-01T08:08:35-05:00,0
472,799316,875439,852091,Payment Not Required,Picked Up,1,0,2020-10-01T02:16:44-05:00,2020-10-01T11:23:44-05:00,0
472,799317,835243,822315,Payment Not Required,Picked Up,1,0,2020-10-01T02:22:19-05:00,2020-10-03T14:11:46-05:00,0
473,799319,756338,759843,Payment Not Required,Picked Up,1,0,2020-10-01T05:12:40-05:00,2020-10-01T19:25:10-05:00,0
473,799322,789620,783790,Payment Not Required,Picked Up,1,0,2020-10-01T05:20:57-05:00,2020-10-01T14:24:58-05:00,0
473,799323,852634,730437,Payment Completed,Picked Up,1,0,2020-10-01T05:22:24-05:00,2020-10-01T14:37:44-05:00,10
473,799325,865826,844817,Payment Not Required,Picked Up,1,0,2020-10-01T05:25:20-05:00,2020-10-01T14:21:37-05:00,10
473,799326,809815,801688,Payment Not Required,Picked Up,1,0,2020-10-01T05:25:34-05:00,2020-10-01T14:34:27-05:00,10
473,799327,776900,771735,Payment Not Required,Picked Up,1,0,2020-10-01T05:27:06-05:00,2020-10-01T17:10:31-05:00,0
473,799328,701094,697994,Payment Foregone,Picked Up,1,0,2020-10-01T05:28:21-05:00,2020-10-01T11:10:52-05:00,10
473,799330,875753,852319,Payment Not Required,Picked Up,1,0,2020-10-01T05:31:14-05:00,2020-10-01T14:24:54-05:00,10
473,799331,771143,766299,Payment Not Required,Picked Up,1,0,2020-10-01T05:33:02-05:00,2020-10-01T14:04:38-05:00,0
473,799336,771144,766300,Payment Not Required,Picked Up,1,0,2020-10-01T05:38:24-05:00,2020-10-01T14:12:56-05:00,0
473,799337,771139,766296,Payment Not Required,Picked Up,1,0,2020-10-01T05:39:44-05:00,2020-10-01T14:02:55-05:00,0
472,799338,771245,766383,Payment Not Required,Picked Up,1,0,2020-10-01T05:39:51-05:00,2020-10-01T17:51:05-05:00,0
473,799339,786941,781239,Payment Not Required,Picked Up,1,0,2020-10-01T05:40:49-05:00,2020-10-01T11:11:52-05:00,0
473,799340,792986,786938,Payment Not Required,Picked Up,1,0,2020-10-01T05:42:34-05:00,2020-10-01T15:03:56-05:00,0
473,799341,857450,838497,Payment Foregone,Picked Up,1,0,2020-10-01T05:46:13-05:00,2020-10-02T13:13:58-05:00,30
473,799342,696605,693509,Payment Completed,Picked Up,1,0,2020-10-01T05:46:36-05:00,2020-10-01T15:23:00-05:00,10
473,799343,808455,800510,Payment Not Required,Picked Up,1,0,2020-10-01T05:46:36-05:00,2020-10-01T15:10:23-05:00,10
473,799344,796059,789713,Payment Not Required,Picked Up,1,0,2020-10-01T05:53:25-05:00,2020-10-01T14:14:48-05:00,0
473,799345,771128,766498,Payment Not Required,Picked Up,1,0,2020-10-01T05:54:15-05:00,2020-10-01T14:22:30-05:00,10
473,799347,790358,784494,Payment Not Required,Picked Up,1,0,2020-10-01T05:54:48-05:00,2020-10-02T13:14:00-05:00,0
472,799349,740672,736523,Payment Not Required,Picked Up,1,0,2020-10-01T05:57:54-05:00,2020-10-01T10:38:33-05:00,0
474,799354,771251,766427,Payment Not Required,Picked Up,1,0,2020-10-01T06:03:39-05:00,2020-10-01T17:50:58-05:00,0
473,799355,696578,693482,Payment Not Required,Picked Up,1,0,2020-10-01T06:09:14-05:00,2020-10-01T16:04:40-05:00,10
472,799356,469074,468123,Payment Not Required,Picked Up,1,0,2020-10-01T06:16:40-05:00,2020-10-01T15:03:51-05:00,0
473,799357,790793,784867,Payment Not Required,Picked Up,1,0,2020-10-01T06:16:59-05:00,2020-10-01T06:11:20-05:00,0
472,799360,776640,771492,Payment Not Required,Picked Up,1,0,2020-10-01T06:24:01-05:00,2020-10-01T18:31:41-05:00,0
473,799361,793375,787287,Payment Not Required,Picked Up,1,0,2020-10-01T06:24:30-05:00,2020-10-01T16:02:18-05:00,0
472,799363,768834,764058,Payment Not Required,Picked Up,1,0,2020-10-01T06:24:42-05:00,2020-10-01T10:10:54-05:00,0
472,799365,771339,766480,Payment Not Required,Picked Up,1,0,2020-10-01T06:26:35-05:00,2020-10-01T17:27:21-05:00,0
473,799366,860797,842510,Payment Not Required,Picked Up,1,0,2020-10-01T06:26:54-05:00,2020-10-01T17:05:41-05:00,0
472,799367,616892,614381,Payment Not Required,Picked Up,1,0,2020-10-01T06:27:39-05:00,2020-10-01T18:05:40-05:00,0
472,799368,789637,783828,Payment Not Required,Picked Up,1,0,2020-10-01T06:27:51-05:00,2020-10-01T14:42:36-05:00,0
472,799369,829358,817945,Payment Not Required,Picked Up,1,0,2020-10-01T06:28:05-05:00,2020-10-01T15:19:51-05:00,0
472,799370,867344,845935,Payment Not Required,Picked Up,1,0,2020-10-01T06:29:10-05:00,2020-10-01T15:32:58-05:00,0
472,799371,843155,828973,Payment Not Required,Picked Up,1,0,2020-10-01T06:30:15-05:00,2020-10-01T19:01:40-05:00,0
472,799372,829356,817946,Payment Not Required,Picked Up,1,0,2020-10-01T06:30:46-05:00,2020-10-01T18:22:24-05:00,0
472,799374,771344,797470,Payment Not Required,Picked Up,1,0,2020-10-01T06:32:45-05:00,2020-10-01T12:20:43-05:00,0
472,799375,776980,771809,Payment Not Required,Picked Up,1,0,2020-10-01T06:32:50-05:00,2020-10-01T17:10:03-05:00,0
473,799376,761936,757360,Payment Not Required,Picked Up,1,0,2020-10-01T06:35:00-05:00,2020-10-01T16:02:56-05:00,0
473,799377,823072,813000,Payment Not Required,Picked Up,1,0,2020-10-01T06:35:43-05:00,2020-10-01T16:01:25-05:00,10
473,799378,816918,807537,Payment Completed,Picked Up,1,0,2020-10-01T06:36:26-05:00,2020-10-01T15:33:31-05:00,10
472,799381,777050,834387,Payment Not Required,Picked Up,1,0,2020-10-01T06:40:07-05:00,2020-10-01T12:32:11-05:00,0
472,799382,704752,701651,Payment Not Required,Picked Up,1,0,2020-10-01T06:40:18-05:00,2020-10-09T07:43:34-05:00,0
472,799383,769792,765006,Payment Not Required,Picked Up,1,0,2020-10-01T06:40:27-05:00,2020-10-01T17:38:25-05:00,0
473,799384,874475,851413,Payment Foregone,Picked Up,1,0,2020-10-01T06:40:30-05:00,2020-10-01T09:42:52-05:00,10
473,799385,857461,838509,Payment Completed,Picked Up,1,0,2020-10-01T06:40:40-05:00,2020-10-01T15:08:53-05:00,10
472,799387,771438,766588,Payment Not Required,Picked Up,1,0,2020-10-01T06:50:06-05:00,2020-10-01T17:35:45-05:00,0
472,799392,771711,766843,Payment Not Required,Picked Up,1,0,2020-10-01T06:54:10-05:00,2020-10-01T14:23:39-05:00,0
472,799393,798887,792871,Payment Not Required,Picked Up,1,0,2020-10-01T06:56:19-05:00,2020-10-01T17:51:26-05:00,0
474,799394,470458,469507,Payment Foregone,Picked Up,1,0,2020-10-01T06:57:02-05:00,2020-10-01T07:03:56-05:00,5
473,799396,767628,762891,Payment Foregone,Picked Up,1,0,2020-10-01T07:00:18-05:00,2020-10-01T11:34:03-05:00,10
